column city;city name;country;latitude_logitude [szerosc_dlugosc];latitude [szer];longitude[dl]
CITY1;JOHANNESBERG;SOUTH AFRICA;26ø08?S 27ø54?E ;26ø08?S;27ø54?E
CITY1;KABUL;AFGHANISTAN;34ø33?57?N 069ø12?47?E;34ø33?57?N; 069ø12?47?E
CITY1;KARACHI;PAKISTAN;24ø51?36?N 67ø0?36?E;24ø51?36?N; 67ø0?36?E
CITY1;KATHMANDU;NEPAL;27.7172øN 85.3240øE;27.7172øN; 85.3240øE
CITY1;KUALALUMPUR;MALAYSIA;03ø08?52?N 101ø41?43?E;03ø08?52?N; 101ø41?43?E
CITY1;KUNMING;CHINA;25ø04?N 102ø41?E;25ø04?N; 102ø41?E
CITY1;KUWAIT;KUWAIT;29ø13?36?N 047ø58?48?E;29ø13?36?N; 047ø58?48?E
CITY1;LAHORE;PAKISTAN;31ø32?59?N 74ø20?37?E;31ø32?59?N; 74ø20?37?E
CITY1;LEIPZIG;GERMANY;51ø20?24?N 12ø22?30?E;51ø20?24?N; 12ø22?30?E
CITY1;LONDON;UNITED KINGDOM;51ø30?26?N 0ø7?39?W;51ø30?26?N; 0ø7?39?W
CITY1;LUXEMBOURG;Wielkie Ksi?stwo Luksemburga;49ø48?52?N 06ø07?54?E;49ø48?52?N; 06ø07?54?E
CITY1;MALE;MALDIVES;4ø10?N 73ø30?E;4ø10?N; 73ø30?E
CITY1;MALPENSA;ITALY;45ø37?50?N 8ø43?41?E ;45ø37?50?N; 8ø43?41?E 
CITY1;MANDALAY;BURMA;21ø58?48?N 96ø05?24?E;21ø58?48?N; 96ø05?24?E
CITY1;MARUITIUS;MAURITIUS;20ø12?S 57ø30?E;20ø12?S;57ø30?E
CITY1;MEDINA;SAUDI ARABIA;24ø28?N 39ø36?E ;24ø28?N; 39ø36?E 
CITY1;MELBOURNE;AUSTRALIA;37ø48?51?S 144ø57?47?E;37ø48?51?S;144ø57?47?E
CITY1;MOSCOW;RUSSIA;55ø45?21?N 37ø37?2?E;55ø45?21?N; 37ø37?2?E
CITY1;MUENCHEN;GERMANY;48ø08?N 11ø34?E ;48ø08?N; 11ø34?E 
CITY1;MUSCAT;OMAN;23ø36?N 58ø32?E ;23ø36?N; 58ø32?E 
CITY1;NAIROBI;KENYA;01ø17?11?S 36ø49?02?E;01ø17?11?S;36ø49?02?E
CITY1;NARITA;JAPAN;35ø47?N 140ø19?E;35ø47?N; 140ø19?E
CITY1;NAVOI;UZBEKISTAN;40ø07?04?N 65ø10?18?E;40ø07?04?N; 65ø10?18?E
CITY1;NEW YORK;UNITED STATES;40ø43?N 74ø00?W;40ø43?N; 74ø00?W
CITY1;NEWARK;UNITED STATES;40.72422øN 74.172574øW;40.72422øN; 74.172574øW
CITY1;OSAKA;JAPAN;34ø41?38?N 135ø30?8?E;34ø41?38?N; 135ø30?8?E
CITY1;PARIS;FRANCE;48ø51?24?N 2ø21?8?E;48ø51?24?N; 2ø21?8?E
CITY1;PARO;BHUTAN;27ø26?N 89ø25?E ;27ø26?N; 89ø25?E 
CITY1;PEKING;CHINA;39ø55?N 116ø23?E;39ø55?N; 116ø23?E
CITY1;RANGOON;BURMA;16ø48?N 96ø09?E ;16ø48?N; 96ø09?E 
CITY1;RIYADH;SAUDI ARABIA;24ø42?42?N 46ø43?37?E;24ø42?42?N; 46ø43?37?E
CITY1;ROME;ITALY;41ø53?36?N 12ø28?58?E;41ø53?36?N; 12ø28?58?E
CITY1;SALALAH;OMAN;17ø01?11?N 54ø05?23?E ;17ø01?11?N; 54ø05?23?E 
CITY1;SANAA;YEMEN;15ø28?35?N 44ø13?11?E ;15ø28?35?N; 44ø13?11?E 
CITY1;SEOUL;KOREA;37ø33?36?N 126ø59?24?E;37ø33?36?N; 126ø59?24?E
CITY1;SEYCHELLES;SEYCHELLES;4ø37?S 55ø27?E;4ø37?S;55ø27?E
CITY1;SHANGHAI;CHINA;31ø13?43?N 121ø28?29?E;31ø13?43?N; 121ø28?29?E
CITY1;SHARJAH;UNITED ARAB EMIRATES;25,35000øN 55,43333øE ;25,35000øN; 55,43333øE 
CITY1;SHENZHEN;CHINA;22ø32?30?N 114ø03?15?E ;22ø32?30?N; 114ø03?15?E 
CITY1;SINGAPORE;SINGAPORE;1ø17?N 103ø50?E;1ø17?N; 103ø50?E
CITY1;SYDNEY;AUSTRALIA;33ø52?04?S 151ø12?36?E;33ø52?04?S;151ø12?36?E
CITY1;TAIPAE;TAIWAN;25ø02?N 121ø38?E ;25ø02?N; 121ø38?E 
CITY1;TASHKENT;UZBEKISTAN;41ø18?40?N 69ø16?47?E;41ø18?40?N; 69ø16?47?E
CITY1;TEHRAN;ISRAEL;35ø41?21?N 51ø23?20?E;35ø41?21?N; 51ø23?20?E
CITY1;TELAVIV;ISRAEL;32.08øN 34.78øE;32.08øN; 34.78øE
CITY1;TOKYO;JAPAN;35ø41?23?N 139ø41?32?E;35ø41?23?N; 139ø41?32?E
CITY1;TORONTO;CANADA;43ø44?30?N 79ø22?24?W;43ø44?30?N; 79ø22?24?W
CITY1;VIENNA;AUSTRIA;48ø12?N 16ø22?E;48ø12?N; 16ø22?E
CITY1;ZURICH;SWITZERLAND;39ø13?58?N 99ø26?05?W ;39ø13?58?N; 99ø26?05?W 
CITY1;BAGHDAD;IRAQ;33ø18?55?N 44ø21?58?E;33ø18?55?N; 44ø21?58?E
CITY1;REUNION;REUNION;21ø06?52?S 55ø31?57?E ;21ø06?52?S;55ø31?57?E 
CITY1;DON MUEANG;THAILAND;13ø54?45?N 100ø36?24?E;13ø54?45?N; 100ø36?24?E
CITY1;KANDAHAR;AFGHANISTAN;31ø37?N 65ø43?E;31ø37?N; 65ø43?E
CITY1;MANCHESTER;UNITED KINGDOM;53ø28?46?N 2ø14?43?W;53ø28?46?N; 2ø14?43?W
CITY1;SAN FRANCISCO;UNITED STATES;37ø46?45?N 122ø25?09?W ;37ø46?45?N; 122ø25?09?W 
CITY1;BASRA;IRAQ;30ø29?N 47ø49?E ;30ø29?N; 47ø49?E 
CITY1;RASALKHAMA;UNITED ARAB EMIRATES;25ø46?N 55ø57?E;25ø46?N; 55ø57?E
CITY1;ANTALYA;TURKEY;36ø53?02,94?N 30ø42?20,25?E;36ø53?02,94?N; 30ø42?20,25?E
CITY1;BAKU;AZERBAIJAN;40ø23?43?N 49ø52?56?E;40ø23?43?N; 49ø52?56?E
CITY1;MADRID;SPAIN;40ø25?01?N 03ø42?12?W;40ø25?01?N; 03ø42?12?W
CITY1;MASHHAD;IRAN;32ø44?16,07?N 35ø19?32,28?E ;32ø44?16,07?N; 35ø19?32,28?E 
CITY1;TANGERANG;INDONESIA;6ø10?41?S 106ø37?54?E;6ø10?41?S;106ø37?54?E
CITY1;VANCOUVER;CANADA;49ø15?40?N 123ø06?50?W;49ø15?40?N; 123ø06?50?W
CITY2;AHMEDABAD;INDIA;23ø02?N 72ø34?E;23ø02?N; 72ø34?E
CITY2;BENGALURU;INDIA;13ø37?00,01?N 77ø55?59,98?E ;13ø37?00,01?N; 77ø55?59,98?E 
CITY2;CHENNAI;INDIA;13ø03?36,34?N 80ø14?57,29?E ;13ø03?36,34?N; 80ø14?57,29?E 
CITY2;DELHI;INDIA;28ø36?36?N 77ø13?48?E ;28ø36?36?N; 77ø13?48?E 
CITY2;GOA;INDIA;44ø24?48?N 8ø50?15?E;44ø24?48?N; 8ø50?15?E
CITY2;HYDERABAD;INDIA;17ø21?57,59?N 78ø28?33,59?E ;17ø21?57,59?N; 78ø28?33,59?E 
CITY2;JAIPUR;INDIA;26.9øN 75.8øE;26.9øN; 75.8øE
CITY2;KOCHI;INDIA;17ø21?57,59?N 78ø28?33,59?E;17ø21?57,59?N; 78ø28?33,59?E
CITY2;KOLKATA;INDIA;22ø34?22?N 88ø21?50?E;22ø34?22?N; 88ø21?50?E
CITY2;KOZHIKODE;INDIA;11ø15?34,52?N 75ø46?48,98?E;11ø15?34,52?N; 75ø46?48,98?E
CITY2;LUCKNOW;INDIA;26ø51?00?N 80ø55?12?E;26ø51?00?N; 80ø55?12?E
CITY2;MANGALORE;INDIA;12ø52?N 74ø53?E ;12ø52?N; 74ø53?E 
CITY2;MUMBAI;INDIA;19ø01?02,88?N 72ø51?31,96?E;19ø01?02,88?N; 72ø51?31,96?E
CITY2;PUNE;INDIA;18ø32?N 73ø51?E;18ø32?N; 73ø51?E
CITY2;TRIVANDRUM;INDIA;8ø30?36?N 76ø57?00?E;8ø30?36?N; 76ø57?00?E
CITY2;AMRITSAR;INDIA;31ø38?24?N 74ø51?36?E;31ø38?24?N; 74ø51?36?E
CITY2;GAYA;INDIA;24ø45?00?N 85ø00?36?E;24ø45?00?N; 85ø00?36?E
CITY2;VARANASI;INDIA;25ø16?55?N 82ø57?22?E;25ø16?55?N; 82ø57?22?E
CITY2;MADURAI;INDIA;9ø55?12?N 78ø07?12?E ;9ø55?12?N; 78ø07?12?E 
CITY2;TIRUCHIRAPALLY;INDIA;10ø45?56?N 078ø42?54?E;10ø45?56?N; 078ø42?54?E
CITY2;VISAKHAPATNAM;INDIA;17ø42?15?N 83ø17?52?E;17ø42?15?N; 83ø17?52?E
CITY2;COIMBATORE;INDIA;11ø01?00.5?N 76ø57?20.9?E;11ø01?00.5?N; 76ø57?20.9?E
CITY2;NAGPUR;INDIA;21.1498øN 79.0806øE;21.1498øN; 79.0806øE
CITY2;CHANDIGARH;INDIA;30ø45?N 76ø47?E;30ø45?N; 76ø47?E
