Metry_kwadratowe,Liczba_pokoi,Podworko,Basen,Pietra,Kod_pocztowy,Prestiz,Liczba_poprzednich_wlascicieli,Zbudowany,Instalacja_odgromowa,Piwnica,Strych,Garaz,Magazyn,Goscinny,Cena
17297,43,1,1,19,99289,7,5,2012,1,3216,5586,243,1,2,1738971.2
69638,42,1,1,63,89878,1,2,1991,0,4703,7032,937,1,6,6977654.1
11680,21,0,0,14,5324,10,1,1992,0,7478,6846,921,1,6,1169431.2
11458,96,1,1,31,95286,9,5,2010,0,1365,3757,321,0,6,1154040.0
83206,34,1,0,51,27565,9,9,1999,0,9170,9694,327,0,9,8326302.9
93506,20,1,0,28,7068,8,9,2017,0,5297,1410,306,1,8,9356982.7
55327,22,1,0,59,76622,1,2,1993,1,7163,9333,504,1,8,5540589.3
77915,99,0,0,21,63942,5,10,2018,1,1081,9015,448,0,4,7793915.8
57295,95,0,0,69,32081,2,2,1994,1,9771,9634,951,1,7,5731510.4
98868,41,0,1,67,85917,7,3,2021,1,2146,1077,623,1,3,9892300.1
83110,43,1,0,75,55046,7,10,2001,0,4108,5663,380,1,7,8321631.1
71154,67,0,1,53,8762,2,6,2021,1,8418,7187,706,0,8,7122699.1
68416,87,1,0,48,60979,8,7,2010,0,1811,6776,424,0,6,6846709.0
21600,94,1,0,56,85215,10,8,2000,1,3129,6029,236,1,3,2166421.0
74704,31,0,0,22,93675,1,9,1992,0,7463,8866,347,0,9,7472587.2
87291,78,1,1,42,5950,3,3,2017,1,6214,3127,596,1,2,8739254.7
96687,65,0,1,81,70871,4,4,2012,1,2438,8183,695,1,6,9673884.2
60567,65,1,1,100,39919,7,6,2019,0,7010,7994,993,1,0,6071330.9
65217,26,1,1,39,96357,6,8,2019,1,1374,3300,804,0,10,6531999.9
47701,26,1,0,46,73572,3,5,2001,0,5447,3025,610,0,3,4773352.1
59318,92,0,0,91,68354,9,8,2002,0,9413,9619,425,1,5,5939275.2
59558,43,1,1,89,79779,4,3,2012,0,9174,4094,712,1,5,5967916.2
96195,97,0,1,64,91809,7,4,2018,1,3874,9414,892,0,3,9626665.8
95441,70,0,1,65,3574,6,10,2017,1,2841,3067,404,1,3,9554998.7
28381,34,1,0,64,44973,6,2,2009,0,6737,1660,502,1,2,2847241.9
15731,34,1,1,37,93825,5,2,2003,1,7361,4828,277,0,5,1582940.3
18966,58,1,0,25,4414,10,4,2019,1,2327,7431,823,0,0,1902151.9
24393,46,1,1,16,18507,4,8,2019,0,4080,4764,619,1,2,2449464.9
35716,24,1,0,52,77207,4,2,2013,1,8821,9581,991,0,10,3574932.3
64693,64,0,0,81,90290,10,9,2013,0,7506,6802,687,0,7,6471378.3
32593,40,1,0,94,89328,2,9,2006,0,2261,9719,871,1,2,3265750.6
39484,74,0,1,30,6688,6,4,1991,0,3172,2821,172,1,9,3954971.1
72243,64,0,1,23,34837,2,1,2004,1,4431,8585,752,1,3,7229477.4
78382,41,0,0,14,58781,7,1,2020,1,8751,7515,985,1,6,7840062.0
70614,15,1,1,100,61317,10,5,2010,1,4845,8727,991,0,2,7075926.0
87864,55,0,0,77,48421,8,4,2019,1,7834,7083,745,0,9,8790481.9
94471,30,1,1,79,55210,6,1,2011,1,1327,6342,285,0,3,9454072.1
60704,96,1,1,29,18856,1,10,2004,0,4505,9766,847,1,2,6080655.4
59612,37,1,0,56,69063,10,7,2017,1,5616,5474,914,1,2,5967739.7
56467,63,0,0,41,28576,3,2,1990,0,2743,5018,815,0,0,5649094.0
41570,76,0,1,98,21758,10,4,2014,1,3573,3494,486,1,10,4167932.4
44862,99,0,1,68,58122,7,5,1992,0,9383,3076,631,0,3,4493882.2
47212,37,1,1,81,4826,7,4,2001,0,7210,5160,159,0,9,4734236.1
17191,80,1,1,29,49538,2,5,1995,0,3192,2786,716,1,9,1728829.5
56480,85,1,0,80,21192,8,3,2016,0,8211,9476,532,0,1,5653048.6
70503,78,0,0,29,72210,2,6,2021,0,6819,4897,948,0,4,7051701.1
58263,65,1,1,57,39046,9,10,2006,1,7942,6968,786,1,3,5840294.6
57916,51,0,0,24,8801,8,1,1998,1,3831,5615,356,1,1,5792783.8
10714,41,0,1,98,23803,5,6,1996,1,2598,1190,631,1,6,1075982.6
62711,60,0,0,29,42211,8,10,2007,1,4484,5437,329,0,6,6272944.7
19268,12,1,0,77,38471,3,5,2010,0,1133,5202,357,1,3,1938014.0
36119,39,1,0,46,16503,7,4,2019,1,3958,3737,889,1,3,3620813.9
20392,33,1,0,84,53104,10,5,2007,1,1256,7011,171,1,2,2046763.7
28183,81,0,0,52,44087,5,2,1993,1,2798,5783,525,1,10,2821593.3
29815,28,0,0,77,46462,9,7,1995,1,3530,2821,663,0,0,2989048.5
50219,96,1,0,54,23667,9,6,2003,1,8051,8796,965,1,0,5025975.3
70399,14,0,1,85,82950,6,5,2013,1,8009,9856,255,0,4,7048784.3
28790,52,1,0,15,13856,7,6,2021,1,1238,5370,218,0,4,2883447.1
54677,64,1,1,94,77132,2,10,1996,0,1236,3643,537,1,2,5477618.6
94939,46,1,1,48,55155,9,10,2009,0,9164,9600,351,1,7,9503765.9
90315,61,1,1,91,21653,7,7,1994,1,5604,3492,490,1,7,9044477.4
17633,28,0,0,83,83228,6,2,2013,0,1644,8999,162,1,2,1767487.3
63242,45,0,1,18,63066,4,10,2017,1,6932,5206,340,1,1,6327623.7
79344,46,1,1,42,19012,2,3,1991,0,8088,4938,744,1,7,7945562.1
34666,75,1,1,14,28826,5,2,2002,1,9405,9154,186,1,6,3477313.2
13583,42,1,0,32,42009,7,2,2015,1,4519,3442,911,0,10,1364589.5
49094,30,1,0,49,90656,9,2,2021,1,4934,3570,625,1,8,4916616.1
25269,88,0,0,92,86720,6,7,2019,1,3464,5175,693,1,1,2530193.9
71989,41,0,0,77,50519,2,3,2003,0,7290,4027,337,1,4,7204744.3
18926,58,1,1,84,32618,6,4,1998,0,5353,4021,442,1,8,1908217.8
51589,83,0,1,43,55528,6,10,1998,0,7867,7522,819,1,5,5167451.8
24390,75,1,0,44,70527,10,9,1992,0,7295,6840,235,0,1,2446317.2
72433,57,1,1,18,69864,7,7,2001,0,6995,8567,276,1,0,7250644.1
61346,69,0,1,52,63238,7,10,2009,1,7427,5864,207,1,10,6141452.9
80915,23,1,1,67,46095,9,6,1992,1,5351,1864,569,0,0,8104297.2
65479,74,0,1,35,99953,10,5,2000,1,9347,1817,460,0,10,6552454.0
48302,22,1,0,13,82376,2,9,2017,0,9855,6297,543,1,1,4833604.7
14447,39,0,1,23,93847,6,8,2002,0,5371,9535,965,0,6,1448447.2
24213,31,1,1,93,51767,1,7,1994,0,1561,1228,653,0,5,2431969.4
99323,35,0,1,28,69665,6,7,2018,0,6346,6556,280,1,3,9939399.8
67491,21,0,0,57,5308,6,7,2007,0,1253,1592,254,1,0,6750826.7
62381,58,1,0,44,22862,1,4,2003,0,1809,2821,734,1,6,6243323.3
71567,70,0,1,94,64245,10,8,1992,0,5968,1718,985,0,4,7166917.2
36804,99,0,0,12,76338,2,8,1996,0,6951,6584,594,1,6,3681839.6
88102,51,1,0,70,42082,8,3,2016,0,7245,6073,496,1,9,8821018.6
72596,91,0,0,90,32957,7,6,2015,0,9595,1266,156,1,0,7262781.5
12002,58,0,0,41,2764,8,8,1995,0,1718,3877,867,1,1,1203664.5
26146,34,0,1,98,431,7,9,2011,1,2060,7566,680,1,7,2627462.1
13716,62,0,1,98,61202,6,8,1990,1,5967,1070,911,0,10,1382883.0
23281,32,1,1,52,87667,9,10,2020,1,3681,3220,422,1,3,2339782.0
19014,67,1,0,89,82387,8,2,1999,0,3330,8941,550,0,6,1912984.9
60675,32,1,0,51,97066,9,7,2002,0,5953,6958,260,0,6,6075733.2
28694,82,0,0,20,44298,2,3,1991,1,3206,2352,310,1,3,2870499.1
45521,53,0,0,32,26627,9,9,1991,1,8643,2999,670,0,7,4554205.1
17307,20,1,0,66,81794,5,8,2006,1,2317,5409,692,0,2,1740869.6
86474,98,0,0,33,50147,1,6,2004,0,1928,4232,220,0,7,8649993.4
34061,43,0,0,90,26346,3,1,1993,0,1616,6765,534,1,9,3407529.3
12881,12,1,0,68,85503,10,5,2006,1,8654,5066,920,1,0,1293712.6
48458,82,1,0,72,98206,3,6,2002,1,5447,7360,308,0,6,4851198.2
89618,49,1,0,36,30029,1,6,2006,1,4321,9355,752,1,0,8969519.6
21865,24,0,1,79,50297,10,5,1993,0,2324,4385,932,1,3,2191960.3
30817,48,0,0,63,26230,9,3,2013,0,2444,9730,961,1,3,3086005.3
10978,17,0,1,55,25000,2,9,2015,1,9798,2127,481,1,6,1103882.5
18220,91,0,1,97,50508,8,4,2013,0,2604,5842,838,1,2,1833031.3
34592,100,0,1,33,63748,1,7,1994,0,7356,2228,264,1,5,3465076.4
38700,25,1,1,26,101,4,7,1996,1,5100,5564,956,1,8,3880396.6
32060,25,0,1,97,43201,8,9,2017,1,9618,9072,814,0,8,3211741.7
40080,50,0,0,82,11062,8,8,2018,0,5973,2871,484,0,0,4011225.8
89335,66,1,1,54,25219,7,2,2004,1,9808,4039,425,0,8,8938823.4
50066,63,0,1,67,81340,8,5,1998,1,8716,6542,465,0,1,5015729.8
98266,14,1,1,42,27552,8,10,1990,1,6293,8164,1000,0,9,9838529.0
53665,66,1,1,81,16527,10,3,2002,0,1788,6553,204,1,8,5379979.2
33469,98,1,1,91,29874,7,7,2016,0,6871,4561,293,0,8,3362757.6
42578,49,1,1,23,3339,7,8,2013,0,6690,3789,964,1,6,4264812.3
64329,25,1,0,44,54901,4,5,2019,1,7313,2455,634,1,5,6436473.9
29512,96,0,1,26,49748,2,8,2012,1,6556,9398,170,0,9,2955396.2
32709,47,1,1,80,86465,1,3,2006,1,2548,2351,162,0,5,3284181.6
29271,70,0,1,98,33402,10,3,2021,1,3470,5717,429,0,6,2938810.1
94951,52,0,1,80,45083,8,4,2014,1,4121,3981,261,1,3,9498811.4
42390,17,0,0,96,16776,5,1,2001,0,7796,7032,462,1,0,4245306.1
31368,78,1,0,86,96715,4,5,2007,1,6510,4644,682,1,0,3142605.7
43332,60,0,1,24,16226,5,5,2002,1,9557,9617,321,0,4,4336691.2
39445,100,0,0,66,31733,10,5,1990,1,1391,4942,992,0,10,3947777.0
82032,78,1,0,64,11922,9,10,2004,0,6972,9105,883,1,8,8209534.4
43432,44,0,1,34,780,1,4,2010,0,2077,3329,377,0,6,4347238.0
80988,34,0,1,57,56385,6,10,2015,1,8135,7450,321,1,10,8104253.5
99444,68,1,0,60,93693,2,4,2021,0,5643,4783,834,0,5,9947284.1
37618,57,0,0,45,59333,2,3,2008,1,3892,7379,638,1,9,3766350.8
99107,54,0,1,65,88495,3,4,2018,1,5522,7622,194,1,3,9916550.8
71519,12,0,1,80,24484,1,8,2012,0,9982,6232,800,1,2,7156303.2
91841,77,0,0,14,19103,5,2,2011,1,8782,3254,955,0,0,9185367.1
28467,98,1,1,70,90596,7,6,2019,0,4314,9569,658,1,10,2855561.9
77075,52,1,0,11,13884,10,10,2002,1,1768,9928,430,0,4,7713855.2
91776,26,0,0,72,92099,10,1,2001,1,1303,4952,712,1,4,9184100.1
69948,45,1,1,59,38826,10,3,2017,0,5632,6000,301,0,3,7006951.7
84577,63,0,1,64,43522,6,7,1991,0,9411,4095,400,0,0,8467175.1
59073,82,0,1,38,50312,1,5,2003,0,8036,9658,303,1,2,5909662.3
90842,60,1,1,25,25975,3,6,1995,0,3501,8720,152,0,5,9092168.5
38722,91,1,0,22,20239,5,5,2008,0,4316,6127,738,0,2,3876450.8
31802,100,0,0,80,6094,7,3,1990,1,3049,6665,476,1,10,3184469.0
56181,76,0,1,98,27961,4,4,1996,0,4581,8060,953,0,7,5630006.6
91757,82,0,0,78,92525,8,4,2012,1,5258,1106,628,0,6,9182239.2
29788,61,0,0,68,65901,2,3,2011,1,6551,5740,782,0,1,2983377.1
81114,23,0,1,89,34182,6,2,2007,0,1629,8207,813,0,9,8118084.7
92508,60,0,0,88,67387,6,7,2006,1,1551,4343,271,1,4,9257332.6
38804,18,1,0,45,39560,4,2,2000,0,5441,2726,925,0,1,3885083.0
34830,92,1,0,85,74921,3,4,2003,0,3930,3923,833,1,2,3488181.3
48540,42,0,0,27,98742,4,5,2016,1,5751,8410,489,1,4,4856286.6
25680,51,1,0,11,39163,9,8,2009,1,8681,5729,829,1,2,2573981.9
73224,66,0,0,74,2142,2,3,2021,1,7771,4695,941,0,3,7330502.1
96469,21,1,0,13,7761,2,9,1994,0,7532,2509,416,0,8,9651382.4
35039,19,0,1,22,4336,6,2,1994,1,2052,9163,979,1,3,3511457.4
99592,47,1,0,61,41554,7,5,1997,1,9635,3509,360,1,3,9963329.7
77211,47,0,1,84,2192,7,9,2006,1,5620,7860,554,1,4,7725844.6
51993,59,1,1,33,34373,6,10,2013,1,7531,6585,891,0,6,5208507.3
31661,52,0,0,18,95986,8,5,2020,1,7968,5941,249,1,8,3168722.0
85429,60,1,1,57,75588,7,6,2016,1,1421,6473,405,0,8,8553293.6
90162,71,1,1,27,52536,3,4,1992,0,2569,2826,909,1,1,9023922.2
81619,82,1,1,70,53446,10,5,2014,1,1562,6165,478,0,10,8173020.4
23609,14,0,0,68,24913,7,8,2017,1,6808,1942,468,0,3,2364571.7
50638,65,1,0,54,62598,7,5,2016,0,4071,2714,916,1,6,5068736.6
57897,21,1,0,96,98705,4,3,1993,0,3678,5344,910,0,6,5801637.3
20640,17,0,0,91,21471,2,9,2015,0,5011,9512,736,1,0,2073310.5
35634,77,0,1,50,21065,7,4,1998,1,8120,9651,462,0,1,3568972.8
70942,36,1,1,28,34429,5,9,2019,1,7964,2118,265,0,3,7102693.9
38688,76,1,0,80,73628,4,7,2012,1,5616,6072,155,0,2,3877141.2
83937,30,0,0,85,50195,5,8,2012,0,7175,6014,933,0,1,8396191.2
92655,54,0,0,77,12209,7,4,1996,0,4932,4411,765,1,4,9267281.6
47781,49,0,0,37,16377,6,8,1993,1,6426,3436,993,1,4,4779776.3
23737,25,1,1,11,58841,3,6,2003,0,4514,5604,997,0,0,2380599.3
83460,34,0,0,69,23734,4,5,2017,1,3231,1741,841,1,10,8347291.7
55736,64,1,1,47,59881,10,5,2017,1,5234,5172,672,0,2,5582770.7
15429,27,1,1,46,73305,7,5,1991,0,1436,7852,164,0,0,1550188.1
85256,68,0,0,45,56640,4,1,2019,0,2638,7455,403,1,0,8530096.9
95828,54,1,0,62,76615,6,10,1994,1,1745,5190,269,1,4,9589468.4
70874,99,1,1,51,11943,8,7,2011,0,6049,3511,428,0,2,7097321.1
78217,78,0,0,73,34686,3,1,2003,0,7391,1085,907,0,2,7828401.3
81101,65,0,1,87,46040,4,4,2017,1,5698,1807,233,1,4,8118370.7
46883,49,0,0,53,80204,8,2,2009,1,9286,4266,845,1,3,4691844.9
69319,38,0,0,89,39675,1,1,2019,0,1787,1635,731,0,8,6936067.9
95288,45,1,1,80,81916,6,1,2010,1,3179,1201,520,1,2,9543817.0
50589,75,0,0,52,82206,10,3,2008,1,3824,8806,185,0,9,5061508.8
65155,69,1,0,46,26367,1,4,1994,1,4546,1801,654,0,3,6521547.4
25386,30,1,0,35,96357,3,10,2001,0,5449,3239,343,1,8,2543209.1
88561,37,1,0,49,11254,6,4,1994,0,4582,9155,726,1,1,8860454.4
16114,98,1,1,25,32522,7,2,2020,1,3474,1546,460,1,1,1620468.0
53633,48,1,0,43,58011,5,3,2010,0,6352,4931,774,0,6,5370339.0
51757,95,0,1,23,1745,5,6,2009,1,9496,8665,943,1,6,5178222.9
60136,32,0,1,54,20364,5,3,1995,0,8341,4965,152,1,4,6020434.5
15850,99,0,1,96,87877,1,3,2010,0,5326,8976,501,0,1,1596900.0
60366,51,0,1,26,88209,3,9,2005,1,8647,6470,687,0,2,6042370.5
18586,93,0,1,16,30288,6,5,1997,0,7588,3667,324,1,8,1862622.7
69443,27,0,1,30,60701,2,7,1993,0,7624,1278,294,1,1,6947198.3
21015,37,1,0,97,43938,5,6,1993,0,2865,4679,527,0,9,2107213.3
79337,83,0,0,70,55727,5,9,2016,0,9559,9783,918,1,5,7940161.6
84947,54,0,0,68,53510,5,7,2014,1,1588,6315,675,1,1,8498951.4
25493,31,0,0,97,43440,2,4,2017,1,6999,2669,187,1,3,2555724.7
50580,57,1,1,76,7583,4,4,2008,0,1593,7912,678,1,1,5072667.8
71040,40,0,1,49,27973,4,3,2015,1,6467,6178,644,0,6,7110801.5
50465,68,0,1,62,56602,7,6,1994,1,3513,3635,401,1,3,5051447.4
65919,40,1,0,82,30941,9,4,2013,1,8500,2426,707,1,1,6596228.3
76489,43,0,1,27,44513,9,7,1992,0,2458,5949,601,1,8,7655928.2
50118,80,1,0,76,39767,3,1,1998,1,7483,8194,687,0,0,5016630.8
98191,17,1,0,77,90287,8,5,2020,1,6782,4950,660,0,4,9828436.0
94990,23,0,1,47,26015,5,2,2018,0,2531,8669,725,0,9,9504433.8
64879,80,0,1,12,40356,9,4,2021,1,5685,6810,914,1,1,6491104.1
54812,88,0,0,27,48822,2,7,1990,0,8509,8693,823,0,7,5482093.0
27253,19,1,0,81,17039,5,5,2010,0,9476,7523,464,1,1,2736783.0
17357,42,0,0,20,39233,6,5,1998,0,5688,9409,221,0,4,1738079.8
54097,26,0,0,98,42242,2,9,2016,1,6986,8792,181,0,5,5416865.6
69440,90,0,1,76,59457,7,9,2004,0,3678,1227,520,0,2,6950509.4
48270,60,1,1,85,81900,6,10,2010,0,6828,3382,935,0,6,4838349.0
45827,61,1,1,60,26520,9,7,2006,0,2199,5768,240,1,6,4590725.6
70488,61,1,0,35,67659,3,7,2020,1,7391,5950,345,0,10,7054483.0
56931,60,1,0,91,8545,9,7,1994,0,3285,9889,905,1,5,5704458.4
88112,77,0,0,68,6319,5,3,2021,1,9760,6910,882,0,6,8813820.1
86152,44,0,0,48,74404,10,3,1992,0,8176,5399,500,0,1,8619787.2
72599,43,0,1,23,29526,9,3,2007,0,4841,6701,315,1,0,7262443.7
43876,42,0,0,43,78995,2,7,1993,0,1242,9300,496,1,3,4388329.3
40177,38,0,0,12,47156,8,6,1991,0,5711,9268,172,1,10,4019219.1
57236,87,0,1,96,11180,9,4,2020,0,7873,4091,146,1,1,5730262.0
85272,89,1,0,34,1813,8,9,2005,1,7286,9107,359,1,3,8531221.5
