"Kraj","Miasto","Latitude","Longitude","Indie","Indie_Miasto","I_latitude","I_longitude","Rok","Kwartal","Pasazerowie_do_Indii","Pasazerowie_z_Indii","Fracht_do_Indii","Fracht_z_Indii"
BAHRAIN,BAHRAIN,26.0675,50.55111,INDIA,KOCHI,9.966667,76.266667,2015,Q1,13940,15684,45.2,205.5
BAHRAIN,BAHRAIN,26.0675,50.55111,INDIA,KOZHIKODE,11.153452,75.4649,2015,Q1,4044,6161,0.0,0.0
BAHRAIN,BAHRAIN,26.0675,50.55111,INDIA,MANGALORE,12.52,74.53,2015,Q1,1863,3030,0.0,0.0
BAHRAIN,BAHRAIN,26.0675,50.55111,INDIA,MUMBAI,19.010288,72.5132,2015,Q1,27815,36746,446.6,821.7
BAHRAIN,BAHRAIN,26.0675,50.55111,INDIA,TRIVANDRUM,8.3036,76.57,2015,Q1,11914,13082,5.2,257.4
THAILAND,BANGKOK,13.45,100.31,INDIA,AHMEDABAD,23.02,72.34,2015,Q1,2249,0,0.0,0.0
THAILAND,BANGKOK,13.45,100.31,INDIA,BENGALURU,13.370001,77.556,2015,Q1,21342,22777,1067.3,1162.1
THAILAND,BANGKOK,13.45,100.31,INDIA,CHENNAI,13.033634,80.14573,2015,Q1,17876,19926,1113.7,1404.5
THAILAND,BANGKOK,13.45,100.31,INDIA,DELHI,28.3636,77.1348,2015,Q1,83219,87007,2165.1,1202.7
THAILAND,BANGKOK,13.45,100.31,INDIA,GAYA,24.45,85.0036,2015,Q1,6254,4119,0.0,0.0
THAILAND,BANGKOK,13.45,100.31,INDIA,HYDERABAD,17.21576,78.283356,2015,Q1,11836,14140,308.0,557.7
THAILAND,BANGKOK,13.45,100.31,INDIA,KOLKATA,22.3422,88.215,2015,Q1,65213,64024,1028.2,1038.7
THAILAND,BANGKOK,13.45,100.31,INDIA,MUMBAI,19.010288,72.5132,2015,Q1,90096,94099,3127.2,1925.7
THAILAND,BANGKOK,13.45,100.31,INDIA,VARANASI,25.1655,82.5722,2015,Q1,1283,3654,0.0,0.0
UNITED KINGDOM,BIRMINGHAM,52.2848,-1.549,INDIA,AMRITSAR,31.3824,74.5136,2015,Q1,6260,4876,0.0,0.0
UNITED KINGDOM,BIRMINGHAM,52.2848,-1.549,INDIA,DELHI,28.3636,77.1348,2015,Q1,11962,12024,93.8,108.4
KYRGYZSTAN,BISHKEK,42.52,74.34,INDIA,DELHI,28.3636,77.1348,2015,Q1,609,818,0.0,131.2
BELGIUM,BRUSELLS,50.5,4.21,INDIA,DELHI,28.3636,77.1348,2015,Q1,9010,11692,643.9,620.8
BELGIUM,BRUSELLS,50.5,4.21,INDIA,MUMBAI,19.010288,72.5132,2015,Q1,12256,13480,844.0,520.6
EGYPT,CAIRO,30.24,31.149,INDIA,MUMBAI,19.010288,72.5132,2015,Q1,2427,3529,29.1,31.5
UNITED STATES,CHICAGO,41.5255,-87.374,INDIA,DELHI,28.3636,77.1348,2015,Q1,16671,20207,485.5,373.2
UNITED STATES,CHICAGO,41.5255,-87.374,INDIA,HYDERABAD,17.21576,78.283356,2015,Q1,4150,5116,0.0,0.0
BANGLADESH,CHITTAGONG,22.19,91.49,INDIA,KOLKATA,22.3422,88.215,2015,Q1,5861,6001,0.0,0.0
GERMANY,COLOGNE,50.56,6.57,INDIA,MUMBAI,19.010288,72.5132,2015,Q1,0,0,37.3,1230.4
SRI LANKA,COLOMBO,6.54,79.5,INDIA,BENGALURU,13.370001,77.556,2015,Q1,16087,16997,934.4,1202.3
SRI LANKA,COLOMBO,6.54,79.5,INDIA,CHENNAI,13.033634,80.14573,2015,Q1,77904,81321,1092.3,2003.1
SRI LANKA,COLOMBO,6.54,79.5,INDIA,DELHI,28.3636,77.1348,2015,Q1,11067,11515,104.1,186.5
SRI LANKA,COLOMBO,6.54,79.5,INDIA,GAYA,24.45,85.0036,2015,Q1,1333,950,0.0,0.0
SRI LANKA,COLOMBO,6.54,79.5,INDIA,KOCHI,9.966667,76.266667,2015,Q1,17116,20771,120.9,487.7
SRI LANKA,COLOMBO,6.54,79.5,INDIA,MADURAI,9.5512,78.0712,2015,Q1,14295,14441,0.0,0.0
SRI LANKA,COLOMBO,6.54,79.5,INDIA,MUMBAI,19.010288,72.5132,2015,Q1,35501,37469,370.6,351.2
SRI LANKA,COLOMBO,6.54,79.5,INDIA,TIRUCHIRAPALLY,10.4556,78.4254,2015,Q1,21806,23883,4.0,399.9
SRI LANKA,COLOMBO,6.54,79.5,INDIA,TRIVANDRUM,8.3036,76.57,2015,Q1,11945,10793,9.9,240.5
SRI LANKA,COLOMBO,6.54,79.5,INDIA,VARANASI,25.1655,82.5722,2015,Q1,1418,1362,0.0,0.0
SAUDI ARABIA,DAMMAM,26.17,50.12,INDIA,BENGALURU,13.370001,77.556,2015,Q1,386,466,0.0,72.1
SAUDI ARABIA,DAMMAM,26.17,50.12,INDIA,CHENNAI,13.033634,80.14573,2015,Q1,777,674,25.3,52.0
SAUDI ARABIA,DAMMAM,26.17,50.12,INDIA,DELHI,28.3636,77.1348,2015,Q1,27388,31116,101.2,155.0
SAUDI ARABIA,DAMMAM,26.17,50.12,INDIA,HYDERABAD,17.21576,78.283356,2015,Q1,4458,3818,0.0,3.0
SAUDI ARABIA,DAMMAM,26.17,50.12,INDIA,KOCHI,9.966667,76.266667,2015,Q1,9664,10774,28.9,302.1
SAUDI ARABIA,DAMMAM,26.17,50.12,INDIA,KOZHIKODE,11.153452,75.4649,2015,Q1,12294,14095,0.1,184.2
SAUDI ARABIA,DAMMAM,26.17,50.12,INDIA,MANGALORE,12.52,74.53,2015,Q1,3885,4232,0.0,0.0
SAUDI ARABIA,DAMMAM,26.17,50.12,INDIA,MUMBAI,19.010288,72.5132,2015,Q1,17995,20836,37.2,358.9
SAUDI ARABIA,DAMMAM,26.17,50.12,INDIA,TRIVANDRUM,8.3036,76.57,2015,Q1,13432,14047,2.9,183.1
BANGLADESH,DHAKA,23.44,90.23,INDIA,CHENNAI,13.033634,80.14573,2015,Q1,4046,3127,14.6,123.9
BANGLADESH,DHAKA,23.44,90.23,INDIA,DELHI,28.3636,77.1348,2015,Q1,13880,12488,192.1,294.7
BANGLADESH,DHAKA,23.44,90.23,INDIA,KOLKATA,22.3422,88.215,2015,Q1,38733,41668,216.7,501.3
BANGLADESH,DHAKA,23.44,90.23,INDIA,MUMBAI,19.010288,72.5132,2015,Q1,13837,12389,200.8,133.0
QATAR,DOHA,25.18,51.32,INDIA,AHMEDABAD,23.02,72.34,2015,Q1,12235,15357,78.6,423.2
QATAR,DOHA,25.18,51.32,INDIA,AMRITSAR,31.3824,74.5136,2015,Q1,14951,13431,3.6,27.1
QATAR,DOHA,25.18,51.32,INDIA,BENGALURU,13.370001,77.556,2015,Q1,17821,20341,1160.6,1382.4
QATAR,DOHA,25.18,51.32,INDIA,CHENNAI,13.033634,80.14573,2015,Q1,20714,24022,2834.5,3577.5
QATAR,DOHA,25.18,51.32,INDIA,DELHI,28.3636,77.1348,2015,Q1,54826,56266,1722.0,4068.2
QATAR,DOHA,25.18,51.32,INDIA,GOA,15.401944,74.043333,2015,Q1,12141,15021,4.6,160.7
QATAR,DOHA,25.18,51.32,INDIA,HYDERABAD,17.21576,78.283356,2015,Q1,13651,14545,151.1,532.4
QATAR,DOHA,25.18,51.32,INDIA,KOCHI,9.966667,76.266667,2015,Q1,41743,51350,72.4,1859.0
QATAR,DOHA,25.18,51.32,INDIA,KOLKATA,22.3422,88.215,2015,Q1,10262,11707,628.2,522.8
QATAR,DOHA,25.18,51.32,INDIA,KOZHIKODE,11.153452,75.4649,2015,Q1,23346,25108,3.9,165.6
QATAR,DOHA,25.18,51.32,INDIA,MANGALORE,12.52,74.53,2015,Q1,2301,3867,0.0,0.0
QATAR,DOHA,25.18,51.32,INDIA,MUMBAI,19.010288,72.5132,2015,Q1,49362,61336,2312.7,3917.2
QATAR,DOHA,25.18,51.32,INDIA,TRIVANDRUM,8.3036,76.57,2015,Q1,13754,16257,3.8,295.2
UNITED ARAB EMIRATES,DUBAI,25.16,55.2,INDIA,AHMEDABAD,23.02,72.34,2015,Q1,48417,53741,603.3,1640.7
UNITED ARAB EMIRATES,DUBAI,25.16,55.2,INDIA,AMRITSAR,31.3824,74.5136,2015,Q1,13866,16281,0.0,0.0
UNITED ARAB EMIRATES,DUBAI,25.16,55.2,INDIA,BENGALURU,13.370001,77.556,2015,Q1,78210,84425,3068.4,5377.0
UNITED ARAB EMIRATES,DUBAI,25.16,55.2,INDIA,CHENNAI,13.033634,80.14573,2015,Q1,102190,118103,2803.4,5533.5
UNITED ARAB EMIRATES,DUBAI,25.16,55.2,INDIA,DELHI,28.3636,77.1348,2015,Q1,218394,218530,3605.8,10927.5
UNITED ARAB EMIRATES,DUBAI,25.16,55.2,INDIA,GOA,15.401944,74.043333,2015,Q1,6236,7022,3.6,0.0
UNITED ARAB EMIRATES,DUBAI,25.16,55.2,INDIA,HYDERABAD,17.21576,78.283356,2015,Q1,99989,112952,830.6,3323.7
UNITED ARAB EMIRATES,DUBAI,25.16,55.2,INDIA,JAIPUR,26.09,75.8,2015,Q1,7208,8776,0.0,0.0
UNITED ARAB EMIRATES,DUBAI,25.16,55.2,INDIA,KOCHI,9.966667,76.266667,2015,Q1,99921,114833,478.0,3939.4
UNITED ARAB EMIRATES,DUBAI,25.16,55.2,INDIA,KOLKATA,22.3422,88.215,2015,Q1,37283,41034,930.1,1832.7
UNITED ARAB EMIRATES,DUBAI,25.16,55.2,INDIA,KOZHIKODE,11.153452,75.4649,2015,Q1,78707,86289,57.1,2589.4
UNITED ARAB EMIRATES,DUBAI,25.16,55.2,INDIA,LUCKNOW,26.51,80.5512,2015,Q1,20470,22064,0.1,34.5
UNITED ARAB EMIRATES,DUBAI,25.16,55.2,INDIA,MADURAI,9.5512,78.0712,2015,Q1,11693,12702,0.0,0.0
UNITED ARAB EMIRATES,DUBAI,25.16,55.2,INDIA,MANGALORE,12.52,74.53,2015,Q1,35738,43350,0.1,96.7
UNITED ARAB EMIRATES,DUBAI,25.16,55.2,INDIA,MUMBAI,19.010288,72.5132,2015,Q1,260038,300106,5551.6,13084.1
UNITED ARAB EMIRATES,DUBAI,25.16,55.2,INDIA,PUNE,18.32,73.51,2015,Q1,4698,6112,0.0,0.0
UNITED ARAB EMIRATES,DUBAI,25.16,55.2,INDIA,TIRUCHIRAPALLY,10.4556,78.4254,2015,Q1,13711,15124,0.0,0.0
UNITED ARAB EMIRATES,DUBAI,25.16,55.2,INDIA,TRIVANDRUM,8.3036,76.57,2015,Q1,59586,71417,91.4,3222.3
UNITED ARAB EMIRATES,DUBAI,25.16,55.2,INDIA,VISAKHAPATNAM,17.4215,83.1752,2015,Q1,5003,4629,0.1,0.0
TAJIKISTAN,DUSHANBE,38.33,68.48,INDIA,DELHI,28.3636,77.1348,2015,Q1,554,492,0.0,11.2
GERMANY,FRANKFURT,50.0638,8.4056,INDIA,BENGALURU,13.370001,77.556,2015,Q1,22765,22666,1939.5,1087.1
GERMANY,FRANKFURT,50.0638,8.4056,INDIA,CHENNAI,13.033634,80.14573,2015,Q1,22196,23348,1411.8,1101.0
GERMANY,FRANKFURT,50.0638,8.4056,INDIA,DELHI,28.3636,77.1348,2015,Q1,57758,58858,840.1,1883.5
GERMANY,FRANKFURT,50.0638,8.4056,INDIA,HYDERABAD,17.21576,78.283356,2015,Q1,0,0,249.1,1451.5
GERMANY,FRANKFURT,50.0638,8.4056,INDIA,MUMBAI,19.010288,72.5132,2015,Q1,24734,27909,4208.8,2026.1
GERMANY,FRANKFURT,50.0638,8.4056,INDIA,PUNE,18.32,73.51,2015,Q1,3546,3447,0.0,0.0
CHINA,GUANGZHOU,23.0632,113.1553,INDIA,DELHI,28.3636,77.1348,2015,Q1,12982,16108,1547.9,495.4
CHINA,GUANGZHOU,23.0632,113.1553,INDIA,MUMBAI,19.010288,72.5132,2015,Q1,0,0,11.9,341.4
MALDIVES,HAA DHAALU ATOLL,6.48,6.3,INDIA,TRIVANDRUM,8.3036,76.57,2015,Q1,747,1309,0.0,0.0
FINLAND,HELNSKI,60.1,24.56,INDIA,DELHI,28.3636,77.1348,2015,Q1,13673,15886,685.9,1125.4
VIETNAM,HO CHI MINH CITY,10.45,106.4,INDIA,DELHI,28.3636,77.1348,2015,Q1,977,943,0.7,51.6
HONG KONG,HONG KONG,22.17,114.1,INDIA,BENGALURU,13.370001,77.556,2015,Q1,18558,20974,848.8,766.3
HONG KONG,HONG KONG,22.17,114.1,INDIA,CHENNAI,13.033634,80.14573,2015,Q1,15311,16903,2932.2,3405.8
HONG KONG,HONG KONG,22.17,114.1,INDIA,DELHI,28.3636,77.1348,2015,Q1,62647,66144,11070.0,9977.5
HONG KONG,HONG KONG,22.17,114.1,INDIA,HYDERABAD,17.21576,78.283356,2015,Q1,7433,9261,593.3,780.7
HONG KONG,HONG KONG,22.17,114.1,INDIA,MUMBAI,19.010288,72.5132,2015,Q1,46451,49294,3834.0,7342.6
TURKEY,ISTANBUL,41.0049,28.5718,INDIA,DELHI,28.3636,77.1348,2015,Q1,23639,23738,561.3,1020.6
TURKEY,ISTANBUL,41.0049,28.5718,INDIA,MUMBAI,19.010288,72.5132,2015,Q1,25242,28909,1130.8,1973.3
SAUDI ARABIA,JEDDAH,21.3,39.11,INDIA,BENGALURU,13.370001,77.556,2015,Q1,6224,6224,65.3,389.8
SAUDI ARABIA,JEDDAH,21.3,39.11,INDIA,CHENNAI,13.033634,80.14573,2015,Q1,7694,9384,200.5,449.4
SAUDI ARABIA,JEDDAH,21.3,39.11,INDIA,DELHI,28.3636,77.1348,2015,Q1,22630,24021,83.1,841.9
SAUDI ARABIA,JEDDAH,21.3,39.11,INDIA,HYDERABAD,17.21576,78.283356,2015,Q1,18531,20901,24.4,411.8
SAUDI ARABIA,JEDDAH,21.3,39.11,INDIA,KOCHI,9.966667,76.266667,2015,Q1,8562,9445,61.1,443.2
SAUDI ARABIA,JEDDAH,21.3,39.11,INDIA,KOZHIKODE,11.153452,75.4649,2015,Q1,37291,40961,43.0,954.7
SAUDI ARABIA,JEDDAH,21.3,39.11,INDIA,LUCKNOW,26.51,80.5512,2015,Q1,10024,13486,7.0,32.4
SAUDI ARABIA,JEDDAH,21.3,39.11,INDIA,MUMBAI,19.010288,72.5132,2015,Q1,53255,53886,258.3,1040.5
SOUTH AFRICA,JOHANNESBERG,-26.08,27.54,INDIA,MUMBAI,19.010288,72.5132,2015,Q1,8483,11916,52.6,644.2
AFGHANISTAN,KABUL,34.3357,69.1247,INDIA,DELHI,28.3636,77.1348,2015,Q1,37194,32721,96.7,676.4
PAKISTAN,KARACHI,24.5136,67.036,INDIA,DELHI,28.3636,77.1348,2015,Q1,935,1814,2.3,4.8
PAKISTAN,KARACHI,24.5136,67.036,INDIA,MUMBAI,19.010288,72.5132,2015,Q1,2228,3581,15.7,95.7
NEPAL,KATHMANDU,27.7172,85.324,INDIA,DELHI,28.3636,77.1348,2015,Q1,91764,86994,299.2,222.8
NEPAL,KATHMANDU,27.7172,85.324,INDIA,KOLKATA,22.3422,88.215,2015,Q1,4671,5084,1.7,4.7
NEPAL,KATHMANDU,27.7172,85.324,INDIA,MUMBAI,19.010288,72.5132,2015,Q1,22835,25412,49.6,30.6
NEPAL,KATHMANDU,27.7172,85.324,INDIA,VARANASI,25.1655,82.5722,2015,Q1,2299,4770,0.0,0.0
MALAYSIA,KUALALUMPUR,3.0852,101.4143,INDIA,BENGALURU,13.370001,77.556,2015,Q1,16290,18061,293.6,320.9
MALAYSIA,KUALALUMPUR,3.0852,101.4143,INDIA,CHENNAI,13.033634,80.14573,2015,Q1,25227,31418,929.5,1130.9
MALAYSIA,KUALALUMPUR,3.0852,101.4143,INDIA,DELHI,28.3636,77.1348,2015,Q1,48035,51148,1122.4,1203.0
MALAYSIA,KUALALUMPUR,3.0852,101.4143,INDIA,HYDERABAD,17.21576,78.283356,2015,Q1,10041,11750,144.6,155.5
MALAYSIA,KUALALUMPUR,3.0852,101.4143,INDIA,KOCHI,9.966667,76.266667,2015,Q1,37672,40961,119.2,179.0
MALAYSIA,KUALALUMPUR,3.0852,101.4143,INDIA,KOLKATA,22.3422,88.215,2015,Q1,13183,13288,47.5,148.6
MALAYSIA,KUALALUMPUR,3.0852,101.4143,INDIA,MUMBAI,19.010288,72.5132,2015,Q1,30705,34222,983.4,1077.9
MALAYSIA,KUALALUMPUR,3.0852,101.4143,INDIA,TIRUCHIRAPALLY,10.4556,78.4254,2015,Q1,49840,52696,0.0,758.3
MALAYSIA,KUALALUMPUR,3.0852,101.4143,INDIA,VISAKHAPATNAM,17.4215,83.1752,2015,Q1,1825,1484,0.0,0.0
CHINA,KUNMING,25.04,102.41,INDIA,KOLKATA,22.3422,88.215,2015,Q1,6531,7750,31.6,110.8
KUWAIT,KUWAIT,29.1336,47.5848,INDIA,AHMEDABAD,23.02,72.34,2015,Q1,2658,3055,1.7,0.2
KUWAIT,KUWAIT,29.1336,47.5848,INDIA,CHENNAI,13.033634,80.14573,2015,Q1,13350,14323,30.7,422.7
KUWAIT,KUWAIT,29.1336,47.5848,INDIA,DELHI,28.3636,77.1348,2015,Q1,10143,9022,166.4,225.9
KUWAIT,KUWAIT,29.1336,47.5848,INDIA,GOA,15.401944,74.043333,2015,Q1,2455,3552,1.3,0.7
KUWAIT,KUWAIT,29.1336,47.5848,INDIA,HYDERABAD,17.21576,78.283356,2015,Q1,1332,1158,0.0,0.0
KUWAIT,KUWAIT,29.1336,47.5848,INDIA,KOCHI,9.966667,76.266667,2015,Q1,10991,11953,58.1,109.4
KUWAIT,KUWAIT,29.1336,47.5848,INDIA,KOZHIKODE,11.153452,75.4649,2015,Q1,4889,5608,0.0,0.0
KUWAIT,KUWAIT,29.1336,47.5848,INDIA,MANGALORE,12.52,74.53,2015,Q1,2931,2810,0.0,0.0
KUWAIT,KUWAIT,29.1336,47.5848,INDIA,MUMBAI,19.010288,72.5132,2015,Q1,37922,50308,1184.5,1575.0
KUWAIT,KUWAIT,29.1336,47.5848,INDIA,TRIVANDRUM,8.3036,76.57,2015,Q1,6507,7614,22.2,218.0
PAKISTAN,LAHORE,31.3259,74.2037,INDIA,DELHI,28.3636,77.1348,2015,Q1,466,1484,14.7,4.0
GERMANY,LEIPZIG,51.2024,12.223,INDIA,BENGALURU,13.370001,77.556,2015,Q1,0,0,0.0,2.6
GERMANY,LEIPZIG,51.2024,12.223,INDIA,DELHI,28.3636,77.1348,2015,Q1,0,0,863.5,2302.9
UNITED KINGDOM,LONDON,51.3026,-0.739,INDIA,AHMEDABAD,23.02,72.34,2015,Q1,4890,7480,0.0,0.0
UNITED KINGDOM,LONDON,51.3026,-0.739,INDIA,AMRITSAR,31.3824,74.5136,2015,Q1,0,5890,0.0,0.0
UNITED KINGDOM,LONDON,51.3026,-0.739,INDIA,BENGALURU,13.370001,77.556,2015,Q1,12586,15251,683.4,788.1
UNITED KINGDOM,LONDON,51.3026,-0.739,INDIA,CHENNAI,13.033634,80.14573,2015,Q1,7977,11632,441.3,801.4
UNITED KINGDOM,LONDON,51.3026,-0.739,INDIA,DELHI,28.3636,77.1348,2015,Q1,122349,122506,4219.0,5875.1
UNITED KINGDOM,LONDON,51.3026,-0.739,INDIA,HYDERABAD,17.21576,78.283356,2015,Q1,9436,12362,248.1,625.0
UNITED KINGDOM,LONDON,51.3026,-0.739,INDIA,MUMBAI,19.010288,72.5132,2015,Q1,83375,94554,4312.8,5999.7
MALDIVES,MALE,4.1,73.3,INDIA,BENGALURU,13.370001,77.556,2015,Q1,7293,7767,2.3,108.3
MALDIVES,MALE,4.1,73.3,INDIA,CHENNAI,13.033634,80.14573,2015,Q1,1475,2029,2.4,51.7
MALDIVES,MALE,4.1,73.3,INDIA,KOCHI,9.966667,76.266667,2015,Q1,3547,4262,14.3,9.0
MALDIVES,MALE,4.1,73.3,INDIA,TRIVANDRUM,8.3036,76.57,2015,Q1,14129,17453,0.6,259.2
ITALY,MALPENSA,45.375,8.4341,INDIA,DELHI,28.3636,77.1348,2015,Q1,7806,9260,190.7,109.3
MAURITIUS,MARUITIUS,-20.12,57.3,INDIA,BENGALURU,13.370001,77.556,2015,Q1,1574,1313,0.0,25.9
MAURITIUS,MARUITIUS,-20.12,57.3,INDIA,CHENNAI,13.033634,80.14573,2015,Q1,1464,2000,7.9,93.7
MAURITIUS,MARUITIUS,-20.12,57.3,INDIA,DELHI,28.3636,77.1348,2015,Q1,6429,6722,33.6,258.6
MAURITIUS,MARUITIUS,-20.12,57.3,INDIA,MUMBAI,19.010288,72.5132,2015,Q1,9846,10564,16.5,304.9
SAUDI ARABIA,MEDINA,24.28,39.36,INDIA,DELHI,28.3636,77.1348,2015,Q1,2317,2051,0.0,1.3
SAUDI ARABIA,MEDINA,24.28,39.36,INDIA,MUMBAI,19.010288,72.5132,2015,Q1,3809,1730,0.2,2.5
AUSTRALIA,MELBOURNE,-37.4851,144.5747,INDIA,DELHI,28.3636,77.1348,2015,Q1,8384,9132,64.1,181.0
RUSSIA,MOSCOW,55.4521,37.372,INDIA,DELHI,28.3636,77.1348,2015,Q1,21827,27646,142.5,1151.2
RUSSIA,MOSCOW,55.4521,37.372,INDIA,GOA,15.401944,74.043333,2015,Q1,12766,15118,0.0,9.3
GERMANY,MUENCHEN,48.08,11.34,INDIA,DELHI,28.3636,77.1348,2015,Q1,15851,16968,933.8,1390.2
GERMANY,MUENCHEN,48.08,11.34,INDIA,MUMBAI,19.010288,72.5132,2015,Q1,13922,16445,1350.6,1095.1
OMAN,MUSCAT,23.36,58.32,INDIA,AHMEDABAD,23.02,72.34,2015,Q1,4707,5771,0.0,1.7
OMAN,MUSCAT,23.36,58.32,INDIA,BENGALURU,13.370001,77.556,2015,Q1,8209,9954,34.8,247.9
OMAN,MUSCAT,23.36,58.32,INDIA,CHENNAI,13.033634,80.14573,2015,Q1,30121,33801,25.0,437.6
OMAN,MUSCAT,23.36,58.32,INDIA,DELHI,28.3636,77.1348,2015,Q1,35904,36045,58.8,493.6
OMAN,MUSCAT,23.36,58.32,INDIA,GOA,15.401944,74.043333,2015,Q1,83,268,0.0,2.5
OMAN,MUSCAT,23.36,58.32,INDIA,HYDERABAD,17.21576,78.283356,2015,Q1,25550,28428,11.9,299.0
OMAN,MUSCAT,23.36,58.32,INDIA,JAIPUR,26.09,75.8,2015,Q1,11354,11904,38.5,73.0
OMAN,MUSCAT,23.36,58.32,INDIA,KOCHI,9.966667,76.266667,2015,Q1,31070,32046,68.9,400.4
OMAN,MUSCAT,23.36,58.32,INDIA,KOZHIKODE,11.153452,75.4649,2015,Q1,22325,25964,5.5,315.7
OMAN,MUSCAT,23.36,58.32,INDIA,LUCKNOW,26.51,80.5512,2015,Q1,8471,12525,3.2,72.9
OMAN,MUSCAT,23.36,58.32,INDIA,MANGALORE,12.52,74.53,2015,Q1,3989,4508,1.2,0.0
OMAN,MUSCAT,23.36,58.32,INDIA,MUMBAI,19.010288,72.5132,2015,Q1,54046,69319,256.2,740.2
OMAN,MUSCAT,23.36,58.32,INDIA,TRIVANDRUM,8.3036,76.57,2015,Q1,29767,31960,8.6,266.1
KENYA,NAIROBI,-1.1711,36.4902,INDIA,MUMBAI,19.010288,72.5132,2015,Q1,23830,30259,74.0,1234.3
